iter	Passed	Remaining
0	192	96037
1	233	58034
2	268	44513
3	302	37448
4	322	31908
5	349	28776
6	385	27160
7	425	26174
8	459	25050
9	496	24344
10	531	23627
11	571	23235
12	605	22700
13	639	22208
14	673	21772
15	709	21471
16	742	21096
17	782	20964
18	830	21035
19	867	20821
20	902	20575
21	1065	23147
22	1108	22983
23	1156	22930
24	1194	22692
25	1230	22436
26	1269	22242
27	1303	21974
28	1336	21711
29	1374	21535
30	1408	21309
31	1446	21152
32	1481	20961
33	1515	20772
34	1549	20586
35	1589	20490
36	1623	20321
37	1656	20136
38	1693	20020
39	1730	19901
40	1764	19754
41	1802	19651
42	1835	19510
43	1874	19430
44	1909	19307
45	1944	19194
46	1978	19072
47	2012	18951
48	2047	18848
49	2088	18794
50	2121	18679
51	2157	18588
52	2255	19026
53	2290	18920
54	2323	18796
55	2359	18707
56	2399	18646
57	2431	18532
58	2467	18441
59	2501	18346
60	2541	18290
61	2577	18211
62	2612	18122
63	2646	18027
64	2688	17993
65	2721	17897
66	2756	17812
67	2791	17735
68	2833	17699
69	2865	17604
70	2899	17519
71	2935	17451
72	2971	17383
73	3008	17317
74	3046	17260
75	3081	17193
76	3114	17107
77	3149	17040
78	3187	16985
79	3219	16904
80	3256	16847
81	3291	16776
82	3328	16720
83	3367	16676
84	3402	16610
85	3435	16538
86	3471	16480
87	3505	16412
88	3542	16359
89	3575	16289
90	3612	16235
91	3645	16167
92	3680	16108
93	3717	16056
94	3750	15991
95	3788	15944
96	3823	15887
97	3857	15822
98	3890	15758
99	3926	15706
100	3958	15638
101	4000	15608
102	4035	15555
103	4072	15506
104	4105	15442
105	4141	15392
106	4178	15348
107	4211	15285
108	4243	15220
109	4278	15168
110	4316	15127
111	4351	15074
112	4388	15028
113	4421	14970
114	4454	14913
115	4495	14881
116	4527	14822
117	4562	14770
118	4597	14718
119	4634	14675
120	4668	14623
121	4708	14589
122	4740	14530
123	4779	14491
124	4816	14450
125	4840	14367
126	4872	14311
127	4904	14254
128	4939	14206
129	4976	14164
130	5009	14110
131	5044	14063
132	5078	14013
133	5115	13971
134	5150	13926
135	5184	13875
136	5217	13823
137	5258	13793
138	5290	13740
139	5327	13699
140	5363	13656
141	5396	13606
142	5433	13565
143	5467	13516
144	5503	13473
145	5537	13425
146	5574	13386
147	5608	13340
148	5642	13292
149	5676	13244
150	5716	13212
151	5748	13161
152	5783	13116
153	5818	13071
154	5851	13024
155	5883	12973
156	5922	12939
157	5956	12893
158	5992	12851
159	6028	12810
160	6066	12773
161	6098	12723
162	6133	12680
163	6167	12635
164	6202	12593
165	6260	12596
166	6295	12552
167	6340	12529
168	6390	12515
169	6438	12498
170	6473	12455
171	6507	12410
172	6541	12364
173	6577	12323
174	6619	12292
175	6667	12273
176	6701	12230
177	6735	12183
178	6773	12147
179	6809	12105
180	6842	12059
181	6876	12015
182	6912	11974
183	6946	11930
184	6984	11891
185	7018	11848
186	7053	11806
187	7085	11759
188	7125	11725
189	7162	11686
190	7195	11640
191	7227	11594
192	7267	11559
193	7300	11514
194	7334	11471
195	7369	11430
196	7406	11391
197	7439	11346
198	7474	11304
199	7507	11261
